source,theme,titre,date,date_parsed,auteur,contenu,url
SeneNews,Live,DIRECT : Anatole Collinet Makosso et Ousmane Sonko font le point devant la presse,12/06/2025 à 14:51,2025-06-12 14:51,Modou Mamoune Tine,,https://www.senenews.com/en-direct-live/direct-anatole-collinet-makosso-et-ousmane-sonko-font-le-point-devant-la-presse_545506.html
SeneNews,International,Crash d’avion avec 230 passagers : Le patron d’Air India suggère qu’il y a eu des survivants,12/06/2025 à 14:51,2025-06-12 14:51,Modou Mamoune Tine,"Alors que la police d’Ahmedabad a affirmé qu’« il n’y a apparemment aucun survivant » suite au crash du vol AI 171, le CEO d’Air India, Campbell Wilson, sème le doute.

Ce revirement soulève plusieurs questions : existe-t-il vraiment des personnes sorties vivantes de la catastrophe ? Le message de Campbell Wilson suggère que les secours ont trouvé des blessés, ce que certaines sources, comme NDTV et les autorités locales, confirmèrent dans la soirée en évoquant au moins un survivant repéré et admis à l’hôpital . Officiellement, Ahmedabad comptabilise au moins un rescapé : un passager britannique, blessé, hospitalisé selon The Guardian et d’autres médias. Ces éléments invitent à la prudence : les efforts de secours sont encore en cours et le bilan humain pourrait spontanément évoluer.Le contraste entre les déclarations policières initiales et celles d’Air Indiapourrait expliquer les doutes encore entourant le bilan officiel du drame. L’annonce du transport de blessés invite à attendre les prochaines confirmations médicales et officielles avant d’écarter toute survivance parmi les passagers.

Le contraste entre les déclarations policières initiales et celles d’Air Indiapourrait expliquer les doutes encore entourant le bilan officiel du drame. L’annonce du transport de blessés invite à attendre les prochaines confirmations médicales et officielles avant d’écarter toute survivance parmi les passagers.",https://www.senenews.com/actualites/international/crash-davion-avec-230-passagers-le-patron-dair-india-suggere-quil-y-a-eu-des-survivants_545504.html
SeneNews,Politique,Poste de SG de l’ONU : Thierno Alassane Sall et les discussions entre le régime et Macky Sall,12/06/2025 à 14:41,2025-06-12 14:41,Thierno Gueye,"Alors que des rumeurs persistantes évoquent une probable candidature de l’ancien président Macky Sall au poste de Secrétaire général de l’Organisation des Nations Unies (ONU), les réactions au sein de la classe politique sénégalaise se multiplient.",https://www.senenews.com/actualites/poste-de-sg-de-lonu-thierno-alassane-sall-et-les-discussions-entre-le-regime-et-macky-sall_545501.html
SeneNews,International,"Crash meurtrier en Inde : 204 corps retrouvés, aucun survivant parmi les passagers",12/06/2025 à 14:04,2025-06-12 14:04,Thierno Gueye,"Le crash du vol AI 171 d’Air India, survenu ce mercredi 12 juin 2025 peu après le décollage d’Ahmedabad en direction de Londres-Gatwick, a plongé le pays dans le deuil.

L’appareil, un Boeing 787‑8 transportant 242 personnes – dont 230 passagers et 12 membres d’équipage – s’est écrasé dans une zone résidentielle, provoquant une scène d’horreur. Selon les autorités locales, notamment le chef de la police GS Malik, 204 corps ont été récupérés sur le site de l’accident. Le bilan humain est particulièrement lourd : aucun survivant n’a été retrouvé parmi les passagers de l’avion, et des victimes au sol figurent également dans le décompte. Lecrasha engendré un incendie majeur, compliquant les opérations de secours et la reconnaissance des corps.Parallèlement, 41 personnes sont actuellement prises en charge dans divers hôpitaux, essentiellement des blessés retrouvés sur les lieux du drame, principalement parmi les habitants de la zone touchée. Le gouvernement indien a décrété une journée de deuil national et annoncé l’ouverture immédiate d’une enquête pour déterminer les causes exactes de la tragédie. Si la piste d’une défaillance technique est envisagée, aucune hypothèse n’est pour l’instant écartée. L’émotion est vive à travers le pays, où de nombreuses familles attendent toujours des nouvelles de leurs proches. Des équipes spécialisées en identification médico-légale ont été mobilisées pour tenter de rendre les dépouilles à leurs familles dans les plus brefs délais.

Parallèlement, 41 personnes sont actuellement prises en charge dans divers hôpitaux, essentiellement des blessés retrouvés sur les lieux du drame, principalement parmi les habitants de la zone touchée. Le gouvernement indien a décrété une journée de deuil national et annoncé l’ouverture immédiate d’une enquête pour déterminer les causes exactes de la tragédie. Si la piste d’une défaillance technique est envisagée, aucune hypothèse n’est pour l’instant écartée. L’émotion est vive à travers le pays, où de nombreuses familles attendent toujours des nouvelles de leurs proches. Des équipes spécialisées en identification médico-légale ont été mobilisées pour tenter de rendre les dépouilles à leurs familles dans les plus brefs délais.",https://www.senenews.com/actualites/international/crash-meurtrier-en-inde-204-corps-retrouves-aucun-survivant-parmi-les-passagers_545493.html
SeneNews,Politique,Remaniement : Le président Bassirou Diomaye Faye écarte 7 hauts responsables,12/06/2025 à 14:00,2025-06-12 14:00,Modou Mamoune Tine,,https://www.senenews.com/actualites/remaniement-le-president-bassirou-diomaye-faye-ecarte-7-hauts-responsables_545495.html
SeneNews,Actualité,« Elle est actuellement gravement malade » : Révélation troublante sur une chanteuse sénégalaise après sa chirurgie,12/06/2025 à 13:28,2025-06-12 13:28,Khadija Sène,"D’après les informations révélées lors de l’émission « After plus » sur 2STV, une chanteuse sénégalaise serait gravement malade suite à une intervention chirurgicale subie en Tunisie. C’est une chroniqueuse qui a partagé cette information préoccupante, sans toutefois dévoiler l’identité de l’artiste.

L’opération, dont la nature n’a pas été précisée, aurait eu de lourdes conséquences sur la santé de lachanteuse. « Une chanteuse sénégalaise est gravement malade après son opération », a affirmé la chroniqueuse, soulignant l’inquiétude de la famille de l’artiste qui souhaite la rapatrier au Sénégal dans les plus brefs délais.Ce témoignage met en lumière les risques potentiels liés aux interventions chirurgicales pratiquées à l’étranger, une pratique de plus en plus répandue. L’absence de nom de la chanteuse ajoute au mystère et à la gravité de la situation.Affaire à suivre…

Ce témoignage met en lumière les risques potentiels liés aux interventions chirurgicales pratiquées à l’étranger, une pratique de plus en plus répandue. L’absence de nom de la chanteuse ajoute au mystère et à la gravité de la situation.Affaire à suivre…",https://www.senenews.com/actualites/elle-est-actuellement-gravement-malade-revelation-troublante-sur-une-chanteuse-senegalaise-apres-sa-chirurgie_545475.html
SeneNews,Actualité,Arrêt sur image : Un corps en état de décomposition retrouvé dans un bassin à Darou Rahmane,12/06/2025 à 13:20,2025-06-12 13:20,Thierno Gueye,,https://www.senenews.com/actualites/arret-sur-image-un-corps-en-etat-de-decomposition-retrouve-dans-un-bassin-a-darou-rahmane_545477.html
SeneNews,Actualité,"Accident motel à Mbour ce jeudi matin : Un talibé tué, deux autres gravement blessés",12/06/2025 à 13:10,2025-06-12 13:10,Khadija Sène,"Ce matin, aux environs de 6 heures, le quartier de Santèssou à Mbour a été le théâtre d’un tragique accident. Un véhicule particulier a percuté trois talibés, causant la mort de l’un d’eux. La victime a succombé à ses blessures à l’hôpital Thierno Mansour Barro.

Les deux autres talibés impliqués dans l’accident se trouvent actuellement dans un état grave. Après lechoc, le conducteur du véhicule a pris la fuite, abandonnant les victimes à leur sort. Une enquête est en cours pour déterminer les circonstances exactes de l’accident et retrouver le conducteur.",https://www.senenews.com/actualites/accident-motel-a-mbour-ce-jeudi-matin-un-talibe-tue-deux-autres-gravement-blesses_545470.html
SeneNews,Actualité,Le président Bassirou Diomaye Faye acte un vrai chamboulement chez Cheikh Diba,12/06/2025 à 13:05,2025-06-12 13:05,Modou Mamoune Tine,"Autre nomination notable : celle de Boubacar Camara, administrateur civil principal, au poste de Directeur de l’Administration et du Personnel de la Direction générale du Budget. Il succède à Abdourakhmane Ba, récemment admis à faire valoir ses droits à la retraite. Ces mouvements traduisent une volonté affirmée deCheikh Dibade consolider les piliers de son ministère à travers des profils expérimentés. La nouvelle équipe en place va devoir renforcer la maîtrise de la dépense publique, la cohérence des programmations budgétaires et la performance administrative globale du département qu’il dirige.",https://www.senenews.com/actualites/le-president-bassirou-diomaye-faye-acte-un-vaste-bouleversement-chez-cheikh-diba_545469.html
SeneNews,Actualité,Tabaski : Le cafouillage organisationnel du ministère de l’Éducation nationale,12/06/2025 à 12:55,2025-06-12 12:55,Khadija Sène,"En réalité, le ministère avait apparemment décidé, sans le communiquer ouvertement, que les cours seraient suspendus le jeudi 5 juin, soit la veille de la Tabaski pour la majorité des Sénégalais (samedi), et à quelques heures de la prière pour ceux célébrant la fête le vendredi. Les parents, se retrouvant seuls face à cette incertitude, ont dû prendre leurs propres décisions, impactant les préparatifs familiaux et les déplacements.Un enseignant, exprimant son incompréhension, résume la situation : « Puisque le ministère a un pouvoir de sanction sur l’administration, cette dernière n’a rien fait, elle a laissé les parents prendre leurs responsabilités face à l’absence de décision. Nous avons été à l’école le jeudi, mais nous n’avons pas vu d’élève ».Le ministère, pourtant conscient de l’importance de la Tabaski au Sénégal, n’a pas pris en compte les réalités sociales. Cette fête, la plus importante pour les musulmans, implique de nombreux déplacements et des préparatifs qui nécessitent du temps. Pourquoi alors maintenir les élèves et leurs parents à l’école jusqu’à la veille de la fête ?Au-delà de ce manquement, l’organisation des troisièmes compositions à l’école primaire révèle une véritable stratégie. Alors que ces examens auraient pu être organisés avant la fête, le ministère a choisi de les programmer entre le 11 et le 16 juin, réduisant ainsi le temps de présence des élèves en classe à seulement quatre jours après la Tabaski.Cette décision semble ignorer les réalités sociales des élèves, notamment ceux qui sont scolarisés loin de leurs parents ou qui profitent de la Tabaski pour se rendre dans les villages. De nombreux parents ont été contraints de rester en ville ou d’effectuer des allers-retours coûteux et inutiles.Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

Un enseignant, exprimant son incompréhension, résume la situation : « Puisque le ministère a un pouvoir de sanction sur l’administration, cette dernière n’a rien fait, elle a laissé les parents prendre leurs responsabilités face à l’absence de décision. Nous avons été à l’école le jeudi, mais nous n’avons pas vu d’élève ».Le ministère, pourtant conscient de l’importance de la Tabaski au Sénégal, n’a pas pris en compte les réalités sociales. Cette fête, la plus importante pour les musulmans, implique de nombreux déplacements et des préparatifs qui nécessitent du temps. Pourquoi alors maintenir les élèves et leurs parents à l’école jusqu’à la veille de la fête ?Au-delà de ce manquement, l’organisation des troisièmes compositions à l’école primaire révèle une véritable stratégie. Alors que ces examens auraient pu être organisés avant la fête, le ministère a choisi de les programmer entre le 11 et le 16 juin, réduisant ainsi le temps de présence des élèves en classe à seulement quatre jours après la Tabaski.Cette décision semble ignorer les réalités sociales des élèves, notamment ceux qui sont scolarisés loin de leurs parents ou qui profitent de la Tabaski pour se rendre dans les villages. De nombreux parents ont été contraints de rester en ville ou d’effectuer des allers-retours coûteux et inutiles.Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

Le ministère, pourtant conscient de l’importance de la Tabaski au Sénégal, n’a pas pris en compte les réalités sociales. Cette fête, la plus importante pour les musulmans, implique de nombreux déplacements et des préparatifs qui nécessitent du temps. Pourquoi alors maintenir les élèves et leurs parents à l’école jusqu’à la veille de la fête ?Au-delà de ce manquement, l’organisation des troisièmes compositions à l’école primaire révèle une véritable stratégie. Alors que ces examens auraient pu être organisés avant la fête, le ministère a choisi de les programmer entre le 11 et le 16 juin, réduisant ainsi le temps de présence des élèves en classe à seulement quatre jours après la Tabaski.Cette décision semble ignorer les réalités sociales des élèves, notamment ceux qui sont scolarisés loin de leurs parents ou qui profitent de la Tabaski pour se rendre dans les villages. De nombreux parents ont été contraints de rester en ville ou d’effectuer des allers-retours coûteux et inutiles.Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

Au-delà de ce manquement, l’organisation des troisièmes compositions à l’école primaire révèle une véritable stratégie. Alors que ces examens auraient pu être organisés avant la fête, le ministère a choisi de les programmer entre le 11 et le 16 juin, réduisant ainsi le temps de présence des élèves en classe à seulement quatre jours après la Tabaski.Cette décision semble ignorer les réalités sociales des élèves, notamment ceux qui sont scolarisés loin de leurs parents ou qui profitent de la Tabaski pour se rendre dans les villages. De nombreux parents ont été contraints de rester en ville ou d’effectuer des allers-retours coûteux et inutiles.Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

Cette décision semble ignorer les réalités sociales des élèves, notamment ceux qui sont scolarisés loin de leurs parents ou qui profitent de la Tabaski pour se rendre dans les villages. De nombreux parents ont été contraints de rester en ville ou d’effectuer des allers-retours coûteux et inutiles.Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

Cette situation a conduit à des absences potentielles et a généré des difficultés pour les parents, certains ayant même prévu leurs congés en fonction de la fermeture supposée des écoles.En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.

En conclusion, le manque de communication et la programmation des compositions après la Tabaski ont été des erreurs regrettables, témoignant d’un manque de prise en compte des réalités sociales et d’un déficit de concertation. Il est impératif que le ministère effectue une introspection et apporte les corrections nécessaires pour l’avenir.",https://www.senenews.com/actualites/tabaski-le-cafouillage-organisationnel-du-ministere-de-leducation-nationale_545464.html
SeneNews,Actualité,"Accueil populaire, visite de terrains : Les premières images de la tournée économique du président (photos)",12/06/2025 à 12:47,2025-06-12 12:47,Thierno Gueye,"Le président Bassirou Diomaye Faye a entamé ce jeudi 12 juin 2025 une tournée économique majeure dans la région de Saint-Louis, marquant ainsi une étape cruciale de sa stratégie de développement territorial.",https://www.senenews.com/actualites/accueil-populaire-visite-de-terrains-les-premieres-images-de-la-tournee-economique-du-president-photos_545452.html
SeneNews,Politique,Ousseynou Ly : « Autorisez vos enfants à répéter ces propos si vous ne les jugez pas offensants »,12/06/2025 à 12:31,2025-06-12 12:31,Modou Mamoune Tine,"Le ministre-conseiller et porte-parole de la présidence, Ousseynou Ly, a réaffirmé avec fermeté la nécessité de respecter les limites de la liberté d’expression dans un État de droit. Si cette liberté demeure un fondement essentiel de la démocratie, elle ne peut servir de prétexte à des actes d’injure, d’insulte ou de diffamation, a-t-il souligné.

« Quand on a le courage d’aller au-delà des limites de la liberté d’expression, on doit également avoir le courage d’assumer la rigueur de la loi », a-t-il déclaré, insistant sur le fait que le Code pénal encadre strictement ces excès et prévoit des sanctions proportionnées. Pour le porte-parole, la justice joue son rôle avec équité et impartialité, indépendamment des affiliations politiques des personnes mises en cause. « La justice qui a sanctionné un militant du parti au pouvoir pour avoir insulté un ancien président est la même qui agit contre un homme politique injuriant un président en exercice. Mêmes faits, même justice, même loi », a-t-il martelé, faisant ainsi écho aux récentes affaires judiciaires, notamment celle impliquant Moustapha Diakhaté.Dans ce contexte,Ousseynou Lyinvite les acteurs politiques à faire preuve de retenue et de responsabilité, tout en dénonçant fermement toute tentative de redéfinir la liberté d’expression en l’assimilant à « l’insulte, l’injure et la désinformation ». Il met en garde contre une banalisation des propos offensants et dégradants qui, selon lui, ne peuvent être tolérés sous couvert de débat démocratique. Pour illustrer son propos, il a lancé une invitation simple mais forte : « Si vous jugez que ces propos n’ont aucune teneur dégradante ou n’ont aucun caractère offensant, autorisez vos enfants à vous le dire ou à le dire à vos visiteurs ou voisins ».

Dans ce contexte,Ousseynou Lyinvite les acteurs politiques à faire preuve de retenue et de responsabilité, tout en dénonçant fermement toute tentative de redéfinir la liberté d’expression en l’assimilant à « l’insulte, l’injure et la désinformation ». Il met en garde contre une banalisation des propos offensants et dégradants qui, selon lui, ne peuvent être tolérés sous couvert de débat démocratique. Pour illustrer son propos, il a lancé une invitation simple mais forte : « Si vous jugez que ces propos n’ont aucune teneur dégradante ou n’ont aucun caractère offensant, autorisez vos enfants à vous le dire ou à le dire à vos visiteurs ou voisins ».",https://www.senenews.com/actualites/ousseynou-ly-autorisez-vos-enfants-a-repeter-ces-propos-si-vous-ne-les-jugez-pas-offensants_545450.html
SeneNews,People,« Tu m’as toujours accusé d’etre avec ta fille pour… » : Jaaw Ketchup flingue une nouvelle fois son ex belle mère (vidéo),12/06/2025 à 12:20,2025-06-12 12:20,Khadija Sène,,https://www.senenews.com/senenews-people/tu-mas-toujours-accuse-detre-avec-ta-fille-pour-jaaw-ketchup-flingue-une-nouvelle-fois-son-ex-belle-mere-video_545447.html
